track_name,artist_name,album_name,popularity,market,genres,duration_mins,release_year,tempo,speechiness,loudness,liveness,instrumentalness,energy,acousticness,valence,like
Rosetta Stoned,TOOL,"10,000 Days",54,USA,"alternative metal, alternative rock, art rock, nu metal, progressive metal, progressive rock, rock",4.913333,2006,111.82,0.0398,-6.418,0.152,0.725,0.82,0.000249,0.574,0
Vencedor,ValentÃƒÂ­n Elizalde,Vencedor,64,USA,"banda, musica mexicana, musica sonorense, norteno, nueva musica mexicana, ranchera",4.158883,2006,,,,,,,,,0
Quizas,Tony Dize,Wisin Y Yandel Presentan: Los Vaqueros,64,USA,"latin hip hop, reggaeton, reggaeton flow, urbano latino",4.11555,2006,89.988,0.0658,-4.913,0.15,0,0.679,0.416,0.875,1
Sweet Sacrifice,Evanescence,The Open Door,57,USA,alternative metal,3.9971,2006,97.013,0.0903,-4.947,0.312,3.15E-06,0.87,0.00679,0.336,0
Cherry Waves,Deftones,Saturday Night Wrist,58,USA,"alternative metal, nu metal, rap metal, rock, sacramento indie",3.247767,2006,124.01,0.0537,-3.663,0.142,0.00691,0.859,0.000362,0.17,1
Go Getta,Jeezy,The Inspiration,51,USA,"atl hip hop, crunk, dirty south rap, gangster rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap",4.044217,2006,173.825,0.155,-6.586,0.15,0,0.751,0.105,0.438,1
On My Own,Three Days Grace,One-X,52,USA,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge",4.167333,2006,117.02,0.0376,-4.103,0.216,0,0.848,0.0201,0.268,0
Me Duele Amarte,Reik,Secuencia,63,USA,"latin arena pop, latin pop, mexican pop",4.243333,2006,148.06,0.0304,-7.085,0.138,0,0.591,0.401,0.591,0
Over You,Daughtry,Daughtry,58,USA,"alternative metal, neo mellow, pop rock, post-grunge",3.1051,2006,156.045,0.0412,-2.6,0.104,0,0.922,0.0174,0.564,0
Stolen,Dashboard Confessional,Dusk And Summer,49,USA,"emo, neo mellow, pop punk, pop rock",3.51955,2006,101.584,0.0329,-3.988,0.0573,1.22E-05,0.838,0.00143,0.318,0
Break It Off,Rihanna,A Girl Like Me,53,USA,"barbadian pop, pop, urban contemporary",2.92555,2006,133.966,0.228,-5.314,0.0573,0,0.738,0.0166,0.798,0
Exitlude,The Killers,Sam's Town,57,USA,"alternative rock, dance rock, modern rock, permanent wave, rock",4.902667,2006,138.923,0.0389,-11.73,0.124,0.000457,0.347,0.297,0.223,0
Crosses,JosÃƒÂ© GonzÃƒÂ¡lez,Veneer,50,USA,"gothenburg indie, indie folk, neo mellow, stomp and holler, swedish indie folk, swedish indie pop, swedish singer-songwriter",3.632883,2006,,,,,,,,,0
Bring Me Along,Pepper,No Shame,49,USA,"reggae fusion, reggae rock",3.081767,2006,75.748,0.0492,-5.676,0.131,0,0.54,0.18,0.369,0
Juicebox,The Strokes,First Impressions Of Earth,59,USA,"alternative rock, garage rock, modern rock, permanent wave, rock",3.741767,2006,154.995,0.127,-2.371,0.0856,0.00894,0.981,0.00166,0.547,0
Vato,Snoop Dogg,Tha Blue Carpet Treatment,60,USA,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",3.392,2006,90.961,0.239,-4.584,0.378,0,0.711,0.142,0.46,1
With Or Without You,U2,U218 Singles,52,USA,"irish rock, permanent wave, rock",3.976217,2006,110.171,0.0285,-11.822,0.141,0.355,0.429,0.000202,0.113,0
Open Your Eyes,Snow Patrol,Eyes Open,62,USA,"irish rock, neo mellow, permanent wave, pop rock, rock",4.0611,2006,130.961,0.0305,-6.334,0.1,0.00174,0.785,0.000722,0.0621,0
Swing My Door,Gucci Mane,Chicken Talk,49,USA,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",5.9091,2006,139.983,0.0789,-9.502,0.417,0.000317,0.494,0.0129,0.24,1
Seaside,The Kooks,Inside In / Inside Out,49,USA,"brighton indie, modern rock, rock",3.2071,2006,129.498,0.0413,-8.523,0.123,0,0.41,0.732,0.324,0
Leather So Soft,Birdman,Like Father Like Son,50,USA,"dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop",2.874667,2006,144.991,0.242,-7.213,0.0899,1.24E-06,0.671,0.111,0.379,1
Razorblade,The Strokes,First Impressions Of Earth,55,USA,"alternative rock, garage rock, modern rock, permanent wave, rock",4.130433,2006,136.075,0.0409,-3.851,0.1,0.233,0.859,0.00201,0.511,0
Classico,Tenacious D,The Pick Of Destiny,55,USA,"alternative metal, comedy rock, comic, comic metal, parody, rock",4.15,2006,170.007,0.14,-7.35,0.311,1.07E-05,0.531,0.907,0.919,0
Stupid Girls,P!nk,I'm Not Dead,59,USA,"dance pop, pop",3.6491,2006,100.04,0.071,-5.045,0.0524,0.00188,0.886,0.000738,0.566,0
Our Time Now,Plain White T's,Every Second Counts,51,USA,"neo mellow, pop punk, pop rock",4.6311,2006,102.979,0.0333,-4.432,0.369,3.90E-06,0.912,0.00989,0.939,0
Descending,Lamb of God,Sacrament,55,USA,"alternative metal, groove metal, melodic metalcore, metal, nu metal, virginia metal",3.608433,2006,93.185,0.0905,-3.5,0.0736,4.42E-05,0.969,7.94E-05,0.129,0
Espacio sideral,Jesse & Joy,Esta Es Mi Vida,66,USA,"latin arena pop, latin pop, mexican pop",4.0011,2006,90.022,0.0285,-6.356,0.143,7.32E-05,0.48,0.00576,0.811,0
Back In Time,Huey Lewis & The News,Greatest Hits: Huey Lewis And The News,55,USA,"album rock, classic rock, mellow gold, new wave pop, pop rock, rock, soft rock",2.504883,2006,120.045,0.04,-5.454,0.0712,0.0103,0.835,0.0311,0.836,0
True Love Ways,Buddy Holly,The Definitive Collection,57,USA,"adult standards, bubblegum pop, classic rock, folk rock, rock-and-roll, rockabilly",3.225333,2006,83.203,0.0349,-18.739,0.209,0.0557,0.138,0.799,0.308,0
Through Glass,Stone Sour,Come What(ever) May [Special Edition],48,USA,"alternative metal, nu metal, post-grunge, rap rock, rock",3.680433,2006,105.754,0.036,-4.618,0.389,0,0.753,0.0417,0.434,1
Calling All Cars,Senses Fail,Still Searching,50,USA,"emo, pop punk, post-hardcore, screamo",3.73555,2006,168.131,0.0996,-3.16,0.271,1.46E-05,0.961,3.49E-05,0.543,0
Touch It,Busta Rhymes,The Big Bang,56,USA,"east coast hip hop, hardcore hip hop, hip hop, hip pop, pop rap, rap",4.95,2006,138.335,0.37,-6.62,0.197,0.000108,0.551,0.0043,0.442,1
Breath,Breaking Benjamin,Phobia (Explicit Version),51,USA,"alternative metal, nu metal, post-grunge",4.459333,2006,182.851,0.0467,-4.145,0.0845,0.000273,0.868,0.00012,0.313,0
Wrapped,George Strait,It Just Comes Natural,49,USA,"contemporary country, country, country road, country rock",4.00305,2006,114.067,0.0263,-4.055,0.109,0,0.762,0.253,0.59,0
Meet Me in the City,The Black Keys,Chulahoma,51,USA,"alternative rock, blues rock, garage rock, modern blues rock, modern rock, punk blues, rock, roots rock",2.891333,2006,121.418,0.0538,-5.486,0.11,0.227,0.754,0.579,0.301,0
Prohibido,El Coyote Y Su Banda Tierra Santa,Prohibido,56,USA,"banda, musica mexicana, nueva musica mexicana, ranchera",3.422217,2006,154.856,0.0388,-4.918,0.0525,0,0.523,0.713,0.967,0
Charlie,Red Hot Chili Peppers,Stadium Arcadium,59,USA,"alternative rock, funk metal, funk rock, permanent wave",6.083333,2006,110.339,0.0724,-3.449,0.0883,6.52E-05,0.912,0.0198,0.506,0
Swing,Trace Adkins,Dangerous Man,50,USA,"contemporary country, country, country road, country rock",3.5771,2006,108.027,0.033,-5.103,0.276,0.000896,0.857,0.00416,0.742,0
London Bridge,Fergie,London Bridge,55,USA,"dance pop, pop, post-teen pop, rap",4.30355,2006,90.952,0.345,-5.894,0.166,0,0.609,0.214,0.631,1
Some Unholy War,Amy Winehouse,Back To Black (Deluxe Edition),58,USA,"british soul, neo soul",3.6627,2006,175.865,0.163,-15.558,0.113,3.91E-05,0.435,0.0856,0.455,0
Why You Wanna,T.I.,King,53,USA,"atl hip hop, dance pop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",4.483767,2006,96.046,0.192,-4.893,0.0603,0,0.772,0.358,0.654,1
Master Exploder,Tenacious D,The Pick Of Destiny,54,USA,"alternative metal, comedy rock, comic, comic metal, parody, rock",2.282,2006,74.47,0.0737,-3.942,0.127,0.00863,0.934,0.00962,0.574,0
Mister Sun,Barney,Let's Go to the Beach,52,USA,"cartoon_, ""children_s music""",3.540217,2006,104.069,0.19,-17.076,0.0519,0,0.322,0.29,0.816,0
Damn Regret,The Red Jumpsuit Apparatus,Don't You Fake It,53,USA,"pop punk, pop rock, screamo",3.435333,2006,118.97,0.0458,-3.419,0.221,0,0.911,0.00045,0.499,0
Get Buck,Young Buck,Buck The World,52,USA,"crunk, dirty south rap, gangster rap, hardcore hip hop, hip hop, nashville hip hop, pop rap, rap, southern hip hop, trap",4.508433,2006,76.51,0.158,-6.095,0.0357,0,0.667,0.545,0.621,1
Love Hurts,Incubus,Light Grenades,58,USA,"alternative metal, alternative rock, funk metal, funk rock, nu metal, pop rock, post-grunge, rock",1.679333,2006,78.102,0.0266,-4.063,0.175,2.51E-06,0.805,0.0129,0.409,0
Say OK,Vanessa Hudgens,V,57,USA,"dance pop, pop, post-teen pop",3.623333,2006,126.505,0.0475,-7.017,0.114,0.00119,0.689,0.00607,0.531,0
Too Many Puppies,Primus,They Can't All Be Zingers,51,USA,"alternative metal, alternative rock, comic, funk metal, funk rock, nu metal, rap rock, rock",2.86,2006,159.622,0.118,-5.085,0.175,9.34E-05,0.905,0.0248,0.624,1
The Arms of Sorrow,Killswitch Engage,As Daylight Dies (Special Edition),52,USA,"alternative metal, boston metal, melodic metalcore, metalcore, nu metal",1.8611,2006,123.981,0.0578,-2.729,0.608,0.000507,0.963,6.53E-05,0.16,0
The Air That I Breathe,All That Remains,The Fall Of Ideals,51,USA,"alternative metal, melodic metalcore, metalcore, nu metal",3.405583,2006,159.833,0.129,-3.17,0.329,0.000251,0.965,6.29E-05,0.367,0
Samson,Regina Spektor,Begin to Hope (Special Edition),47,USA,"indie pop, lilith, piano rock",3.197767,2006,89.154,0.0421,-9.544,0.113,9.74E-06,0.193,0.862,0.184,0
Belief,John Mayer,Continuum,54,USA,"neo mellow, singer-songwriter",4.656,2006,101.346,0.0343,-8.024,0.0801,0.0413,0.735,0.033,0.841,0
The Great Escape,Patrick Watson,Close to Paradise,60,USA,"indie folk, indie quebecois",5.700433,2006,105.202,0.035,-16.827,0.109,0.103,0.0698,0.991,0.232,0
James River Blues,Old Crow Medicine Show,Big Iron World,49,USA,"alternative country, bluegrass, folk, indie folk, modern old-time, new americana, old-time, progressive bluegrass, roots rock, stomp and holler",4.756883,2006,98.917,0.0263,-8.098,0.149,0.00249,0.492,0.299,0.585,0
Listen to the Horses,Raffi,Quiet Time,48,USA,"""canadian children_s music"", ""children_s folk"", ""children_s music""",2.918217,2006,100.221,0.0288,-13.495,0.0991,0.905,0.159,0.774,0.597,0
Lobo Domesticado,ValentÃƒÂ­n Elizalde,Lobo Domesticado,61,USA,"banda, musica mexicana, musica sonorense, norteno, nueva musica mexicana, ranchera",4.097767,2006,,,,,,,,,0
Two Can Win,J Dilla,Donuts,52,USA,"alternative hip hop, detroit hip hop, hip hop",3.126217,2006,185.182,0.41,-9.68,0.775,0.224,0.761,0.011,0.807,1
The View From The Afternoon,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",48,USA,"garage rock, modern rock, permanent wave, rock, sheffield indie",3.522,2006,146.478,0.0674,-5.192,0.187,0,0.922,0.00487,0.417,0
Riot Van,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",48,USA,"garage rock, modern rock, permanent wave, rock, sheffield indie",2.246883,2006,103.537,0.046,-14.342,0.245,0,0.333,0.358,0.258,0
Stop,J Dilla,Donuts,52,USA,"alternative hip hop, detroit hip hop, hip hop",3.396667,2006,85.899,0.188,-7.692,0.647,0.0204,0.753,0.203,0.471,1
Blessed Assurance,Alan Jackson,Precious Memories,51,USA,"country, country road",3.091333,2006,204.36,0.0606,-11.312,0.115,0,0.277,0.89,0.319,0
Me And God,Josh Turner,Your Man,50,USA,"contemporary country, country, country road",4.80555,2006,153.362,0.0284,-6.212,0.146,1.40E-05,0.761,0.2,0.861,0
Para Impresionarte,El Coyote Y Su Banda Tierra Santa,Prohibido,57,USA,"banda, musica mexicana, nueva musica mexicana, ranchera",3.629333,2006,137.054,0.0373,-5.337,0.289,0,0.492,0.604,0.86,0
Destroy Everything,Hatebreed,Supremacy,54,USA,"alternative metal, connecticut hardcore, hardcore, industrial metal, melodic metalcore, metalcore, nu metal, rap rock",3.889333,2006,110.019,0.0591,-3.356,0.114,0,0.942,0.00253,0.581,1
Bones,The Killers,Sam's Town,58,USA,"alternative rock, dance rock, modern rock, permanent wave, rock",3.994883,2006,139.57,0.0643,-3.607,0.0822,0.124,0.902,0.000679,0.567,0
Redneck Side of Me,Jamey Johnson,The Dollar,48,USA,"country, country road, outlaw country, redneck",4.338433,2006,149.576,0.0368,-4.271,0.282,0,0.718,0.0344,0.398,0
Give Me Jesus,Jeremy Camp,Beyond Measure (Special Edition),50,USA,"ccm, christian alternative rock, christian music, world worship, worship",3.813767,2006,79.034,0.0253,-7.73,0.0966,7.38E-05,0.407,0.0855,0.256,0
The Dollar,Jamey Johnson,The Dollar,48,USA,"country, country road, outlaw country, redneck",4.230433,2006,94.021,0.0353,-4.713,0.139,0,0.727,0.115,0.572,0
My Apocalypse,Escape the Fate,Dying Is Your Latest Fashion,52,USA,"alternative metal, metalcore, pixie, pop punk, screamo",4.678,2006,129.328,0.133,-3.623,0.108,0.000137,0.935,0.00173,0.236,0
Runaway Love,Ludacris,Release Therapy,50,USA,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop",4.398217,2006,92.854,0.283,-6.97,0.252,0,0.721,0.329,0.815,1
The Old Rugged Cross,Alan Jackson,Precious Memories,50,USA,"country, country road",4.19155,2006,79.34,0.0252,-11.58,0.119,0,0.206,0.868,0.287,0
Father and Daughter,Paul Simon,Surprise,50,USA,"classic rock, folk, folk rock, mellow gold, permanent wave, rock, roots rock, singer-songwriter, soft rock",5.436667,2006,106.003,0.0314,-7.085,0.183,0.000863,0.56,0.195,0.811,0
The Riddle,Five For Fighting,Two Lights,50,USA,"acoustic pop, neo mellow, piano rock, pop rock",3.986217,2006,119.429,0.029,-5.8,0.135,0,0.562,0.327,0.271,0
Harvest Dawn,Jeremy Soule,The Elder Scrolls IV: Oblivion: Original Game Soundtrack,53,USA,"orchestral soundtrack, scorecore, video game music",2.478,2006,84.176,0.0383,-21.617,0.0853,0.855,0.0632,0.934,0.056,0
Hard to Concentrate,Red Hot Chili Peppers,Stadium Arcadium,54,USA,"alternative rock, funk metal, funk rock, permanent wave",3.2011,2006,105.634,0.0251,-7.334,0.311,4.35E-06,0.502,0.156,0.326,0
Days To Come,Bonobo,Days To Come,58,USA,"downtempo, electronica, jazztronica, nu jazz, trip hop",4.524883,2006,92.948,0.0441,-8.353,0.0732,0.375,0.558,0.32,0.416,0
Map of the Problematique,Muse,Black Holes and Revelations,58,USA,"modern rock, permanent wave, rock",2.436,2006,125.04,0.0414,-3.613,0.254,0.118,0.959,0.000386,0.703,0
What A Friend We Have In Jesus,Alan Jackson,Precious Memories,51,USA,"country, country road",4,2006,143.37,0.0292,-12.56,0.124,0,0.174,0.903,0.288,0
Stupid Boy,Keith Urban,"Love, Pain & The Whole Crazy Thing",48,USA,"australian country, australian pop, contemporary country, country, country road",4.8871,2006,145.884,0.0326,-7.215,0.341,0.000255,0.609,0.0822,0.562,0
Hold My Hand,New Found Glory,Coming Home,47,USA,"easycore, emo, pop punk",4.540217,2006,164.641,0.0643,-3.299,0.165,0,0.963,0.00298,0.899,0
Love Like Winter,AFI,DECEMBERUNDERGROUND,50,USA,"alternative metal, pop punk, punk, screamo, skate punk",2.76755,2006,120.032,0.0468,-4.753,0.0452,0.000139,0.914,0.000259,0.524,0
Want To,Sugarland,Enjoy The Ride,47,USA,"contemporary country, country, country dawn, country road",3.979167,2006,97.046,0.0556,-4.999,0.158,4.54E-05,0.725,0.208,0.759,0
Ya Me Voy,Tierra Cali,Enamorado de Ti... (Los creadores del Sacadito),49,USA,"musica mexicana, tierra caliente",4.286883,2006,176.334,0.0636,-4.711,0.265,0,0.552,0.511,0.931,0
Stadium Arcadium,Red Hot Chili Peppers,Stadium Arcadium,56,USA,"alternative rock, funk metal, funk rock, permanent wave",4.179333,2006,113.474,0.0318,-3.925,0.156,2.69E-06,0.707,0.0236,0.219,0
Southern Girl,Amos Lee,Supply And Demand,49,USA,"acoustic pop, indie folk, neo mellow, new americana, pop rock, stomp and holler",1.962883,2006,141.057,0.0292,-10.03,0.299,8.19E-05,0.374,0.508,0.352,0
What About Now,Daughtry,Daughtry (Deluxe Edition),46,USA,"alternative metal, neo mellow, pop rock, post-grunge",3.89755,2006,162.007,0.0419,-2.821,0.15,0,0.836,0.0724,0.252,0
The Last Night,Skillet,Comatose,52,USA,"alternative metal, christian alternative rock, christian music, christian rock",9.13755,2006,169.81,0.0471,-2.934,0.233,0,0.856,0.0253,0.542,0
These Boots,Eric Church,Sinners Like Me,48,USA,"contemporary country, country, country road",4.18955,2006,86.007,0.0368,-10.464,0.301,0.0118,0.63,0.241,0.734,0
Are You Sure Hank Done It This Way,Waylon Jennings,Nashville Rebel,49,USA,"country, country rock, outlaw country, texas country",2.978883,2006,113.833,0.029,-9.22,0.16,0.391,0.646,0.396,0.768,0
Frente A Frente,Los Yonic's,A Tu Recuerdo,54,USA,"grupera, gruperas inmortales, musica mexicana, ranchera, tropical",3.046667,2006,105.065,0.0249,-4.634,0.229,1.91E-06,0.694,0.558,0.714,0
When There Was Me and You,Vanessa Hudgens,High School Musical,54,USA,"dance pop, pop, post-teen pop",3.566667,2006,119.93,0.0383,-5.586,0.109,0.00026,0.742,0.0417,0.261,0
Spring Flowers,Raffi,Quiet Time,47,USA,"""canadian children_s music"", ""children_s folk"", ""children_s music""",3.05555,2006,106.028,0.028,-12.096,0.0982,0.271,0.246,0.922,0.483,0
Until the End of Time,Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,49,USA,"dance pop, pop",4.326217,2006,119.384,0.0446,-6.58,0.195,0,0.372,0.271,0.473,0
Lindas Mujeres,Tierra Cali,Enamorado de Ti... (Los creadores del Sacadito),50,USA,"musica mexicana, tierra caliente",4.138,2006,149.045,0.0479,-3.135,0.249,0.0021,0.897,0.293,0.936,0
Crazy Love,Pepper,No Shame,47,USA,"reggae fusion, reggae rock",4.083767,2006,161.804,0.118,-5.43,0.364,0,0.596,0.104,0.53,0
Yo Te Quiero,Wisin & Yandel,Wisin Y Yandel Presentan: Los Vaqueros,58,USA,"electro latino, latin hip hop, reggaeton, urbano latino",4.652883,2006,93.996,0.282,-6.012,0.137,0,0.675,0.591,0.786,1
Slow Cheetah,Red Hot Chili Peppers,Stadium Arcadium,55,USA,"alternative rock, funk metal, funk rock, permanent wave",3.288217,2006,178.102,0.0376,-7.804,0.0715,0.000141,0.344,0.082,0.244,0
You,Breaking Benjamin,Phobia (Explicit Version),50,USA,"alternative metal, nu metal, post-grunge",4.244883,2006,94.185,0.0376,-3.891,0.127,5.74E-06,0.728,6.54E-05,0.17,0
Cassie,Flyleaf,Flyleaf,47,USA,"alternative metal, christian alternative rock, nu metal",4.429767,2006,168.082,0.368,-4.501,0.558,1.31E-06,0.963,0.00136,0.282,0
Davy Jones,Hans Zimmer,Pirates of the Caribbean: Dead Man's Chest (Original Motion Picture Soundtrack),56,USA,"german soundtrack, orchestral soundtrack, soundtrack",4.695333,2006,79.924,0.0285,-19.072,0.127,0.0447,0.0558,0.475,0.106,0
Strip My Mind,Red Hot Chili Peppers,Stadium Arcadium,54,USA,"alternative rock, funk metal, funk rock, permanent wave",1.161767,2006,135.601,0.0333,-5.067,0.111,3.44E-05,0.653,0.0265,0.262,0
Pride and Joy,Stevie Ray Vaughan,The Real Deal: Greatest Hits Volume 1,50,USA,"album rock, blues, blues rock, classic rock, electric blues, instrumental rock, modern blues, rock, texas blues",4.671333,2006,126.877,0.0385,-11.821,0.106,0.00395,0.626,0.0274,0.743,0
Appetite For Destruction,N.W.A.,The Best Of N.W.A: The Strength Of Street Knowledge,54,USA,"conscious hip hop, gangster rap, golden age hip hop, hardcore hip hop, hip hop, old school hip hop, rap, west coast rap",4.873333,2006,105.488,0.172,-7.03,0.233,0,0.812,0.0293,0.361,1
Hasta la Madre de Borracho,Los Inquietos Del Norte,Bravos y Agresivos,50,USA,"latin hip hop, musica mexicana, norteno",4.314433,2006,146.914,0.16,-5.719,0.0895,0,0.575,0.334,0.66,1
Siente El Boom,"Tito ""El Bambino""",El Documental II,61,USA,"latin hip hop, reggaeton, urbano latino",3.4771,2006,95.024,0.0744,-5.805,0.0924,0,0.745,0.112,0.512,1
Love Is A Losing Game,Amy Winehouse,Back To Black,53,USA,"british soul, neo soul",5.608433,2006,165.008,0.0311,-16.544,0.146,0.00627,0.293,0.337,0.562,0
Down Home Girl,Old Crow Medicine Show,Big Iron World,48,USA,"alternative country, bluegrass, folk, indie folk, modern old-time, new americana, old-time, progressive bluegrass, roots rock, stomp and holler",3.049767,2006,111.204,0.0372,-5.968,0.0937,2.67E-06,0.638,0.313,0.816,0
Say,Method Man,4:21...The Day After,56,USA,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",5.607333,2006,92.033,0.319,-7.615,0.0737,0,0.416,0.117,0.621,1
Primavera,Ludovico Einaudi,Divenire (Deluxe Edition),60,USA,"bow pop, compositional ambient, neo-classical",4.3251,2006,141.628,0.0332,-13.593,0.17,0.856,0.206,0.965,0.136,0
Beware,Deftones,Saturday Night Wrist,53,USA,"alternative metal, nu metal, rap metal, rock, sacramento indie",3.726883,2006,145.156,0.0375,-5.393,0.137,0.432,0.714,0.000129,0.1,1
This Is Who We Are,Hawthorne Heights,If Only You Were Lonely,47,USA,"dayton indie, pop punk, post-hardcore, screamo",4.022217,2006,113.372,0.0523,-2.59,0.297,0.0254,0.938,0.00784,0.497,0
So Far to Go,J Dilla,The Shining,52,USA,"alternative hip hop, detroit hip hop, hip hop",5.194,2006,90.36,0.0494,-5.351,0.304,6.74E-05,0.561,0.0087,0.285,1
Soon As I Get Home,2Pac,Pac's Life,58,USA,"g funk, gangster rap, hip hop, rap, west coast rap",1.3631,2006,97.033,0.16,-3.114,0.404,0,0.857,0.0614,0.715,1
Our Town,James Taylor,Cars (Original Motion Picture Soundtrack),53,USA,"adult standards, classic rock, folk, folk rock, mellow gold, rock, singer-songwriter, soft rock",5.232433,2006,111.815,0.0287,-11.819,0.123,0.000402,0.269,0.882,0.113,0
Pegao,Wisin & Yandel,Pegao,53,USA,"electro latino, latin hip hop, reggaeton, urbano latino",4.41,2006,96.038,0.255,-4.751,0.356,0,0.816,0.51,0.809,1
Behind the Clouds,Brad Paisley,Cars (Original Motion Picture Soundtrack),52,USA,"contemporary country, country, country road",3.923767,2006,126.807,0.0275,-10.34,0.153,9.66E-05,0.464,0.466,0.646,0
Mirame,Jenni Rivera,Mi Vida Loca,57,USA,"banda, mariachi, musica mexicana, ranchera, regional mexicano femenil",2.605333,2006,174.416,0.051,-4.651,0.33,0,0.587,0.702,0.79,0
Unknown Soldier,Breaking Benjamin,Phobia (Explicit Version),49,USA,"alternative metal, nu metal, post-grunge",5.504217,2006,113.777,0.064,-4.666,0.125,0.298,0.927,1.23E-05,0.212,0
Pegao,Wisin & Yandel,Wisin Y Yandel Presentan: Los Vaqueros,60,USA,"electro latino, latin hip hop, reggaeton, urbano latino",4.6131,2006,96.038,0.255,-4.751,0.356,0,0.816,0.51,0.809,1
Leave Before The Lights Come On,Arctic Monkeys,Leave Before The Lights Come On,46,USA,"garage rock, modern rock, permanent wave, rock, sheffield indie",3.332,2006,150.718,0.0417,-4.579,0.0923,2.18E-05,0.887,0.00272,0.916,0
Are You Washed In The Blood,Alan Jackson,Precious Memories,49,USA,"country, country road",3.978433,2006,113.132,0.0272,-8.987,0.263,0,0.463,0.686,0.811,0
Descansa,Lilly Goodman,SobrevivirÃƒÂ©,57,USA,"latin christian, latin worship",3.406433,2006,139.994,0.0388,-4.503,0.142,1.00E-06,0.699,0.22,0.417,0
Heaven Help Us,My Chemical Romance,The Black Parade: The B-Sides,45,USA,"emo, pop punk",3.6,2006,194.287,0.141,-3.412,0.0698,1.10E-06,0.974,0.000234,0.255,0
Differences,Ginuwine,Greatest Hits,47,USA,"contemporary r&b, dance pop, hip hop, hip pop, neo soul, r&b, urban contemporary",2.720883,2006,62.876,0.0558,-4.578,0.311,0,0.594,0.318,0.423,1
Gracias Por Estar Conmigo,Conjunto Primavera,Algo De Mi,55,USA,"musica chihuahuense, musica mexicana, norteno, ranchera, tropical",0.952883,2006,144.257,0.0322,-2.592,0.107,0,0.764,0.512,0.326,0
Find Yourself,Brad Paisley,Cars (Original Motion Picture Soundtrack),52,USA,"contemporary country, country, country road",2.273767,2006,111.706,0.0272,-11.192,0.106,0,0.39,0.598,0.274,0
Highwayman,Willie Nelson,Nashville Rebel,51,USA,"classic country pop, country, country rock, nashville sound, outlaw country, singer-songwriter, texas country",3.570433,2006,101.344,0.0389,-13.175,0.126,0.0135,0.448,0.541,0.441,0
Xerces,Deftones,Saturday Night Wrist,51,USA,"alternative metal, nu metal, rap metal, rock, sacramento indie",4.976667,2006,120.041,0.0346,-5.267,0.469,0.25,0.736,0.000598,0.252,1
Hands Up,Lloyd Banks,Rotten Apple,58,USA,"gangster rap, hardcore hip hop, hip hop, pop rap, queens hip hop, rap, trap",3.84155,2006,95,0.219,-2.282,0.51,0,0.878,0.0775,0.594,1
Bold as Love,John Mayer,Continuum,51,USA,"neo mellow, singer-songwriter",4.8071,2006,125.897,0.0417,-6.407,0.0718,0.00221,0.59,0.0995,0.4,0
The Chills,Peter Bjorn and John,Writer's Block,51,USA,"alternative dance, baroque pop, indie pop, indie rock, modern rock, new rave, stomp and holler, swedish alternative rock, swedish indie pop",2.784433,2006,90.367,0.0463,-7.117,0.32,0.354,0.878,0.103,0.716,0
American Witch,Rob Zombie,Educated Horses,50,USA,"alternative metal, hard rock, industrial rock, nu metal, rock",3.52555,2006,117.753,0.108,-4.064,0.0801,0,0.946,0.0115,0.21,0
Dancing Shoes,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",47,USA,"garage rock, modern rock, permanent wave, rock, sheffield indie",3.900667,2006,144.499,0.0461,-4.137,0.345,0,0.889,0.00328,0.852,0
Wind It Up,Gwen Stefani,The Sweet Escape,47,USA,"dance pop, pop",2.667333,2006,120.006,0.0678,-6.874,0.354,0.000199,0.9,0.309,0.95,0
The Guillotine,Escape the Fate,Dying Is Your Latest Fashion,49,USA,"alternative metal, metalcore, pixie, pop punk, screamo",2.700217,2006,95.498,0.163,-5.593,0.0759,0,0.955,0.00838,0.152,0
In Repair,John Mayer,Continuum,51,USA,"neo mellow, singer-songwriter",4.24755,2006,145.099,0.0293,-6.721,0.0697,0.0014,0.588,0.0538,0.394,0
Workinonit,J Dilla,Donuts,50,USA,"alternative hip hop, detroit hip hop, hip hop",3.391767,2006,92.981,0.244,-7.497,0.585,0.498,0.695,0.0714,0.543,1
Reverse This Curse,Escape the Fate,Dying Is Your Latest Fashion,49,USA,"alternative metal, metalcore, pixie, pop punk, screamo",4.542433,2006,114.988,0.0894,-3.93,0.479,0,0.947,0.0215,0.401,0
One X,Three Days Grace,One-X,48,USA,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge",3.393333,2006,126.973,0.0382,-4.545,0.119,0,0.674,0.00391,0.319,0
